iterations,random,proportional,tournament
375,1115992.431,1106402.895,1020277.614
376,1115992.431,1105206.029,1020277.614
377,1115325.045,1105206.029,1019949.419
378,1115325.045,1105206.029,1019949.419
379,1114130.059,1104866.39,1018621.767
380,1114130.059,1104866.39,1018621.767
381,1111353.261,1097184.666,1018621.767
382,1109552.882,1097184.666,1018065.847
383,1109552.882,1097184.666,1017842.595
384,1109552.882,1097184.666,1017533.052
385,1109552.882,1097819.623,1014128.243
386,1109552.882,1097819.623,1013154.315
387,1109552.882,1097819.623,1013154.315
388,1109552.882,1097819.623,1013154.315
389,1107820.906,1097819.623,1013154.315
390,1105882.743,1097642.954,1013031.9
391,1105882.743,1097642.954,1011012.432
392,1104715.098,1097642.954,1011012.432
393,1104715.098,1097642.954,1010722.445
394,1103698.591,1096729.385,1010722.445
395,1103698.591,1096729.385,1010679.789
396,1103698.591,1096064.993,1010679.789
397,1102940.578,1096064.993,1009743.778
398,1102940.578,1096064.993,1009971.971
399,1100124.235,1096064.993,1009847.244
400,1100124.235,1096014.883,1009791.548
401,1099210.838,1094385.257,1007846.689
402,1099210.838,1094385.257,1005006.404
403,1099210.838,1094385.257,1005006.404
404,1099210.838,1092525.481,1005006.404
405,1100124.235,1092525.481,1005006.404
406,1100124.235,1092525.481,1005006.404
407,1099413.416,1092525.481,1003777.924
408,1099266.916,1092525.481,1003070.106
409,1099266.916,1087058.707,1003131.272
410,1096386.562,1087058.707,1003131.272
411,1096386.562,1087058.707,1000417.041
412,1096386.562,1087058.707,1000417.041
413,1096386.562,1087058.707,999007.3407
414,1096386.562,1086605.461,999007.3407
415,1096386.562,1084863.867,999007.3407
416,1095052.685,1081062.342,998910.5916
417,1095052.685,1081062.342,998354.2162
418,1095052.685,1081062.342,998354.2162
419,1094116.639,1081062.342,996591.2497
420,1093620.937,1079116.158,996591.2497
421,1093620.937,1079116.158,996591.2497
422,1093620.937,1077073.696,994797.3342
423,1093620.937,1077073.696,994295.2125
424,1093620.937,1070638.658,992668.9486
425,1093620.937,1070638.658,992668.9486
426,1091080.608,1070638.658,988571.9365
427,1088770.106,1070392.718,988571.9365
428,1088770.106,1070392.718,988571.9365
429,1087791.334,1070505.953,988571.9365
430,1087791.334,1070505.953,988571.9365
431,1087791.334,1070505.953,988571.9365
432,1085131.131,1070505.953,988571.9365
433,1085131.131,1070505.953,987880.4169
434,1085131.131,1070505.953,987880.4169
435,1085131.131,1070455.77,986943.3929
436,1085131.131,1070455.77,986943.3929
437,1084088.368,1070455.77,986943.3929
438,1084088.368,1070455.77,986943.3929
439,1084088.368,1070158.303,986623.7342
440,1084088.368,1065069.146,985575.5991
441,1084088.368,1065069.146,985575.5991
442,1084088.368,1065069.146,984813.6588
443,1084088.368,1065069.146,984441.7979
444,1084088.368,1065069.146,984441.7979
445,1078363.717,1065069.146,984441.7979
446,1078363.717,1065069.146,984134.5027
447,1078363.717,1065069.146,983074.0041
448,1078363.717,1063422.669,981486.6261
449,1078363.717,1063422.669,981486.6261
450,1078363.717,1063422.669,980326.5888
451,1078363.717,1063422.669,980326.5888
452,1075434.566,1063837.632,980071.7667
453,1073589.33,1060462.976,980071.7667
454,1073589.33,1060176.154,980071.7667
455,1073589.33,1060176.154,978043.8153
456,1073589.33,1060176.154,977739.3185
457,1073589.33,1055507.381,977717.5797
458,1072562.328,1055507.381,977258.4335
459,1072038.121,1055507.381,976132.3048
460,1071057.858,1054124.727,976132.3048
461,1071057.858,1054124.727,975043.2474
462,1068580.159,1054062.165,975043.2474
463,1068580.159,1054062.165,975043.2474
464,1068580.159,1054891.845,974269.9773
465,1068580.159,1050319.155,974315.5255
466,1069085.955,1050319.155,974315.5255
467,1069085.955,1050947.845,974315.5255
468,1067344.341,1050947.845,973519.2295
469,1067344.341,1048130.593,973519.2295
470,1067337.819,1048130.593,973147.6792
471,1066184.718,1048130.593,972821.4435
472,1066184.718,1047825.603,972821.4435
473,1066184.718,1047825.603,972704.8404
474,1063039.162,1047327.836,972579.471
475,1061985.058,1047327.836,972704.8404
476,1061985.058,1046292.924,972436.9351
477,1061985.058,1046292.924,972070.0713
478,1061020.754,1046292.924,968996.8339
479,1061286.879,1046292.924,968996.8339
480,1060081.448,1046292.924,968514.5716
481,1059319.381,1045474.493,966561.1965
482,1059319.381,1044158.994,966561.1965
483,1053986.764,1042997.12,966561.1965
484,1053986.764,1042997.12,966561.1965
485,1054193.215,1041080.348,966289.027
486,1054193.215,1041080.348,965233.5044
487,1054193.215,1040069.672,965233.5044
488,1054193.215,1039869.044,965233.5044
489,1054193.215,1039869.044,965233.5044
490,1054193.215,1036867.677,964672.2823
491,1053854.965,1036867.677,964672.2823
492,1053648.65,1036867.677,964627.0706
493,1053648.65,1035690.471,963837.4166
494,1053648.65,1035690.471,963837.4166
495,1053648.65,1035639.056,963837.4166
496,1052495.974,1035639.056,963685.231
497,1052495.974,1035639.056,963685.231
498,1052495.974,1035639.056,963685.231
499,1051611.388,1035639.056,963685.231
500,1051611.388,1034716.031,963569.6031
501,1050864.795,1034716.031,963569.6031
502,1050864.795,1033977.146,962608.0892
503,1050615.548,1032594.262,962608.0892
504,1049368.755,1032594.262,962608.0892
505,1049368.755,1032014.709,962608.0892
506,1049368.755,1032014.709,962608.0892
507,1049368.755,1030688.025,962608.0892
508,1048547.187,1030688.025,960387.9545
509,1047755.542,1030382.75,960387.9545
510,1047755.542,1028645.291,960387.9545
511,1047822.809,1028645.291,958442.9556
